street,sa2_code,sa2_name,installation_type,installations,kw_rating,kw_total
MARINA GROVE,244800,Hutt Central South,Res,3 or less,5.0,
MARTHA LAWSON LANE,244800,Hutt Central South,Res,3 or less,5.0,
PENROSE STREET,244800,Hutt Central South,Res,4,6.0,24.0
PRETORIA STREET,244800,Hutt Central South,Res,3 or less,3.0,
WAI-ITI CRESCENT,244800,Hutt Central South,Res,3 or less,7.5,
WATERLOO ROAD,244800,Hutt Central South,Res,3 or less,6.0,
WILLOUGHBY STREET,244800,Hutt Central South,Res,3 or less,6.0,
WITAKO STREET,244800,Hutt Central South,Res,3 or less,5.0,
ARATIKA GROVE,244900,Stokes Valley North,Res,3 or less,1.4,
GLEN ROAD,244900,Stokes Valley North,Res,3 or less,4.6,
HAWTHORN CRESCENT,244900,Stokes Valley North,Res,3 or less,4.7,
HOROEKA STREET,244900,Stokes Valley North,Res,5,4.4,21.8
JOHN STREET,244900,Stokes Valley North,Res,3 or less,5.1,
KERERU GROVE,244900,Stokes Valley North,Res,3 or less,4.1,
KINGSLEY STREET,244900,Stokes Valley North,Res,5,5.1,25.4
KOPARA GROVE,244900,Stokes Valley North,Res,3 or less,10.0,
LORD STREET,244900,Stokes Valley North,Res,3 or less,1.4,
LOWRY CRESCENT,244900,Stokes Valley North,Res,3 or less,3.8,
MANOR DRIVE,244900,Stokes Valley North,Res,3 or less,4.6,
MORRISON GROVE,244900,Stokes Valley North,Res,3 or less,5.0,
NGAHERE STREET,244900,Stokes Valley North,Res,3 or less,4.6,
POHUE GROVE,244900,Stokes Valley North,Res,3 or less,6.0,
ROBSON STREET,244900,Stokes Valley North,Res,3 or less,6.3,
SPELDHURST GROVE,244900,Stokes Valley North,Res,5,4.3,21.6
STOKES VALLEY ROAD,244900,Stokes Valley North,Res,3 or less,7.1,
TAWHAI STREET,244900,Stokes Valley North,Res,3 or less,4.5,
THOMAS STREET,244900,Stokes Valley North,Res,3 or less,3.6,
ADELAIDE STREET,245000,Petone Esplanade,Res,3 or less,4.1,
AURORA STREET,245000,Petone Esplanade,Res,3 or less,3.0,
BAY STREET,245000,Petone Esplanade,Res,4,4.5,18.2
BEACH STREET,245000,Petone Esplanade,Res,3 or less,5.0,
BOLTON STREET,245000,Petone Esplanade,Res,7,3.8,26.6
BUICK STREET,245000,Petone Esplanade,Res,3 or less,4.0,
QUEEN STREET,245000,Petone Esplanade,Res,3 or less,5.0,
RICHMOND STREET,245000,Petone Esplanade,Res,3 or less,4.3,
TORY STREET,245000,Petone Esplanade,Res,3 or less,5.0,
WILLIAM STREET,245000,Petone Esplanade,Res,3 or less,10.0,
WISE STREET,245000,Petone Esplanade,Res,3 or less,2.0,
BURNTON STREET,245100,Epuni West,Res,3 or less,1.8,
DYER STREET,245100,Epuni West,Res,3 or less,3.0,
EPUNI STREET,245100,Epuni West,Res,3 or less,4.7,
HALL CRESCENT,245100,Epuni West,Res,3 or less,4.0,
HIGH STREET,245100,Epuni West,Res,3 or less,4.6,
OXFORD TERRACE,245100,Epuni West,Res,4,5.3,21.0
PILMUIR STREET,245100,Epuni West,Res,3 or less,8.0,
PINNY AVENUE,245100,Epuni West,Res,3 or less,4.6,
ROBERTS STREET,245100,Epuni West,Res,3 or less,4.0,
THORNYCROFT AVENUE,245100,Epuni West,Res,3 or less,5.5,
TRINITY AVENUE,245100,Epuni West,Res,3 or less,6.0,
WITAKO STREET,245100,Epuni West,Res,3 or less,2.0,
COLSON STREET,245200,Avalon East,Res,3 or less,7.4,
COTTLE STREET,245200,Avalon East,Res,3 or less,5.0,
GORDON STREET,245200,Avalon East,Res,3 or less,5.0,
GUINESS STREET,245200,Avalon East,Res,3 or less,4.6,
HIGH STREET,245200,Avalon East,Res,3 or less,3.8,
OXFORD TERRACE,245200,Avalon East,Res,3 or less,5.0,
WALTERS STREET,245200,Avalon East,Res,3 or less,3.2,
LUDLAM CRESCENT,245300,Woburn,Res,3 or less,5.0,
MIRO STREET,245300,Woburn,Res,3 or less,6.0,
NIKAU GROVE,245300,Woburn,Res,3 or less,4.2,
PURIRI STREET,245300,Woburn,Res,3 or less,8.7,
RICHMOND GROVE,245300,Woburn,Res,3 or less,5.0,
SAULBREY GROVE,245300,Woburn,Res,3 or less,10.0,
TOTARA CRESCENT,245300,Woburn,Res,3 or less,5.0,
TREVETHICK GROVE,245300,Woburn,Res,3 or less,5.0,
WAI-ITI CRESCENT,245300,Woburn,Res,3 or less,7.3,
BARTON GROVE,245400,Naenae Central,Res,3 or less,7.5,
BENGE CRESCENT,245400,Naenae Central,Res,3 or less,6.5,
BERTRAM GROVE,245400,Naenae Central,Res,3 or less,4.0,
CAMBRIDGE TERRACE,245400,Naenae Central,Res,8,4.7,37.3
CHAPMAN CRESCENT,245400,Naenae Central,Res,3 or less,3.7,
GIBSON CRESCENT,245400,Naenae Central,Res,3 or less,3.7,
KOWHAI STREET,245400,Naenae Central,Res,3 or less,5.5,
NAENAE ROAD,245400,Naenae Central,Res,3 or less,4.3,
RATA STREET,245400,Naenae Central,Res,3 or less,5.0,
SEDDON STREET,245400,Naenae Central,Res,4,4.9,19.6
SLADDEN STREET,245400,Naenae Central,Res,3 or less,5.0,
WADDINGTON DRIVE,245400,Naenae Central,Res,3 or less,3.0,
BROOK STREET,245500,Waterloo West,Res,3 or less,10.0,
CAMBRIDGE TERRACE,245500,Waterloo West,Res,3 or less,5.0,
COLLINGWOOD STREET,245500,Waterloo West,Res,3 or less,8.0,
CUDBY STREET,245500,Waterloo West,Res,3 or less,4.6,
HARDY STREET,245500,Waterloo West,Res,3 or less,4.1,
NILE STREET,245500,Waterloo West,Res,3 or less,1.5,
OXFORD TERRACE,245500,Waterloo West,Res,3 or less,4.0,
POHUTUKAWA STREET,245500,Waterloo West,Res,3 or less,8.6,
TOTARA CRESCENT,245500,Waterloo West,Res,3 or less,3.5,
TRAFALGAR STREET,245500,Waterloo West,Res,3 or less,4.0,
WAIWHETU ROAD,245500,Waterloo West,Res,3 or less,7.3,
WATERLOO ROAD,245500,Waterloo West,Res,3 or less,3.0,
BROWN GROVE,245600,Epuni East,Res,3 or less,5.0,
CAMBRIDGE TERRACE,245600,Epuni East,Res,3 or less,6.6,
FAIRFIELD AVENUE,245600,Epuni East,Res,3 or less,9.8,
FISK STREET,245600,Epuni East,Res,3 or less,3.0,
FLOCK GROVE,245600,Epuni East,Res,3 or less,5.0,
HAMERTON STREET,245600,Epuni East,Res,3 or less,2.4,
LAURA FERGUSSON GROVE,245600,Epuni East,Res,3 or less,4.6,
NORTON PARK AVENUE,245600,Epuni East,Res,3 or less,5.3,
PORUTU STREET,245600,Epuni East,Res,3 or less,4.0,
RIVERSIDE DRIVE,245600,Epuni East,Res,3 or less,1.5,
SOUTH STREET,245600,Epuni East,Res,3 or less,5.0,
TILBURY STREET,245600,Epuni East,Res,3 or less,2.0,
WATERLOO ROAD,245600,Epuni East,Res,3 or less,5.0,
WOODVALE GROVE,245600,Epuni East,Res,3 or less,5.0,
GRACEFIELD ROAD,245700,Gracefield,Res,3 or less,10.0,
BALDWIN STREET,245800,Moera,Res,3 or less,4.8,
MASON STREET,245800,Moera,Res,3 or less,5.0,
RANDWICK CRESCENT,245800,Moera,Res,4,6.6,26.5
RANDWICK ROAD,245800,Moera,Res,3 or less,1.5,
YORK STREET,245800,Moera,Res,3 or less,10.0,
AMUNDSEN GROVE,245900,Delaney,Res,3 or less,5.0,
DELANEY DRIVE,245900,Delaney,Res,3 or less,3.0,
GEORGE STREET,245900,Delaney,Res,5,4.9,24.6
HANSON GROVE,245900,Delaney,Res,3 or less,4.0,
KORAU GROVE,245900,Delaney,Res,3 or less,6.0,
POPPY WATTS GROVE,245900,Delaney,Res,3 or less,3.9,
RAUKAWA STREET,245900,Delaney,Res,3 or less,6.0,
SHACKLETON GROVE,245900,Delaney,Res,3 or less,4.7,
STOKES VALLEY ROAD,245900,Delaney,Res,5,5.3,26.6
THOMSON GROVE,245900,Delaney,Res,3 or less,3.6,
ATIAWA CRESCENT,246000,Waiwhetu,Res,3 or less,4.8,
AWAMUTU GROVE,246000,Waiwhetu,Res,3 or less,6.0,
BELL ROAD,246000,Waiwhetu,Res,3 or less,6.7,
BELL ROAD SOUTH,246000,Waiwhetu,Res,3 or less,8.0,
GODLEY STREET,246000,Waiwhetu,Res,3 or less,2.3,
GRENVILLE STREET,246000,Waiwhetu,Res,3 or less,10.0,
GUTHRIE STREET,246000,Waiwhetu,Res,3 or less,4.9,
HAWKINS STREET,246000,Waiwhetu,Res,3 or less,6.0,
LEIGHTON AVENUE,246000,Waiwhetu,Res,3 or less,4.8,
MACDIARMID PLACE,246000,Waiwhetu,Res,3 or less,5.7,
MAWSON STREET,246000,Waiwhetu,Res,3 or less,3.2,
MEADOWS AVENUE,246000,Waiwhetu,Res,3 or less,2.0,
MOANA GROVE,246000,Waiwhetu,Res,3 or less,8.0,
RIVERSIDE DRIVE,246000,Waiwhetu,Res,4,6.2,24.6
RODNEY STREET,246000,Waiwhetu,Res,3 or less,5.3,
TRAFALGAR STREET,246000,Waiwhetu,Res,3 or less,5.0,
TYNDALL STREET,246000,Waiwhetu,Res,3 or less,10.0,
WAINUI ROAD,246000,Waiwhetu,Res,3 or less,5.0,
WAITUI CRESCENT,246000,Waiwhetu,Res,3 or less,4.6,
WHITES LINE EAST,246000,Waiwhetu,Res,3 or less,3.5,
BIRDWOOD ROAD,246100,Waterloo East,Res,3 or less,5.0,
BURNSIDE STREET,246100,Waterloo East,Res,3 or less,2.5,
CLEARY STREET,246100,Waterloo East,Res,3 or less,6.1,
FRICKLETON GROVE,246100,Waterloo East,Res,3 or less,7.5,
GALWAY STREET,246100,Waterloo East,Res,5,4.3,21.6
GODLEY STREET,246100,Waterloo East,Res,3 or less,2.3,
LOCKETT STREET,246100,Waterloo East,Res,3 or less,2.0,
MALONE ROAD,246100,Waterloo East,Res,3 or less,4.6,
MELVILL GROVE,246100,Waterloo East,Res,6,3.5,21.0
RIVERSIDE DRIVE,246100,Waterloo East,Res,3 or less,3.3,
ROSSITER AVENUE,246100,Waterloo East,Res,3 or less,3.3,
WAIWHETU ROAD,246100,Waterloo East,Res,3 or less,6.0,
WYNDRUM AVENUE,246100,Waterloo East,Res,4,4.7,18.7
BOYD GROVE,246200,Naenae North,Res,3 or less,2.0,
BUTLER STREET,246200,Naenae North,Res,3 or less,5.0,
FLEET STREET,246200,Naenae North,Res,3 or less,3.0,
HAY STREET,246200,Naenae North,Res,3 or less,8.0,
HELVETIA GROVE,246200,Naenae North,Res,3 or less,8.0,
KOWHAI STREET,246200,Naenae North,Res,3 or less,5.0,
LANGFORD STREET,246200,Naenae North,Res,3 or less,3.3,
MAYO GROVE,246200,Naenae North,Res,3 or less,4.9,
PREBBLE GROVE,246200,Naenae North,Res,3 or less,8.0,
PROUSE CRESCENT,246200,Naenae North,Res,3 or less,5.0,
RATA STREET,246200,Naenae North,Res,4,4.5,18.1
RIMU STREET,246200,Naenae North,Res,3 or less,6.0,
KAIRIMU STREET,246300,Manuka,Res,4,4.6,18.5
KAMAHI STREET,246300,Manuka,Res,3 or less,4.0,
KENNEDY GROVE,246300,Manuka,Res,3 or less,5.0,
MANUKA STREET,246300,Manuka,Res,3 or less,7.5,
MONTGOMERY STREET,246300,Manuka,Res,3 or less,3.7,
RAKAU GROVE,246300,Manuka,Res,3 or less,10.0,
STOKES VALLEY ROAD,246300,Manuka,Res,3 or less,2.0,
TANEKAHA STREET,246300,Manuka,Res,3 or less,5.0,
BULLER GROVE,246400,Naenae South,Res,3 or less,5.0,
CLELAND CRESCENT,246400,Naenae South,Res,3 or less,4.5,
FRETHEY GROVE,246400,Naenae South,Res,3 or less,1.4,
HILL GROVE,246400,Naenae South,Res,3 or less,4.6,
HOLMES GROVE,246400,Naenae South,Res,3 or less,3.8,
JUDD CRESCENT,246400,Naenae South,Res,3 or less,3.1,
KERKWALL DRIVE,246400,Naenae South,Res,3 or less,1.4,
NEWCOMBE STREET,246400,Naenae South,Res,3 or less,4.0,
SEDDON STREET,246400,Naenae South,Res,3 or less,4.3,
WADDINGTON DRIVE,246400,Naenae South,Res,3 or less,4.7,
WILKIE CRESCENT,246400,Naenae South,Res,4,3.7,14.6
WILLCOX GROVE,246400,Naenae South,Res,3 or less,1.6,
BRIAN MORGAN TERRACE,246600,Arakura,Res,3 or less,2.5,
DOVER ROAD,246600,Arakura,Res,4,4.6,18.3
DUBLIN STREET,246600,Arakura,Res,3 or less,8.0,
ENFIELD STREET,246600,Arakura,Res,3 or less,4.6,
HALIFAX STREET,246600,Arakura,Res,3 or less,4.6,
HAMSTEAD STREET,246600,Arakura,Res,3 or less,4.8,
MATTHEWS ROAD,246600,Arakura,Res,3 or less,4.1,
NASEBY GROVE,246600,Arakura,Res,3 or less,4.6,
NEWBURN GROVE,246600,Arakura,Res,3 or less,6.4,
STOCKDALE STREET,246600,Arakura,Res,3 or less,4.6,
UPPER FITZHERBERT ROAD,246600,Arakura,Res,3 or less,5.0,
WELLINGTON ROAD,246600,Arakura,Res,14,4.3,60.2
WESTMINSTER ROAD,246600,Arakura,Res,3 or less,4.6,
WHITEHALL STREET,246600,Arakura,Res,3 or less,4.0,
CHEVIOT ROAD,246700,Eastern Bays,Res,4,7.5,30.0
CHURCH LANE,246700,Eastern Bays,Res,3 or less,5.3,
DILLON STREET,246700,Eastern Bays,Res,3 or less,5.0,
FERRY ROAD,246700,Eastern Bays,Res,3 or less,2.0,
GILL ROAD,246700,Eastern Bays,Res,3 or less,6.0,
HOWARD ROAD,246700,Eastern Bays,Res,3 or less,4.1,
HUIA ROAD,246700,Eastern Bays,Res,3 or less,4.6,
KAITAWA ROAD,246700,Eastern Bays,Res,3 or less,5.0,
KOTARI ROAD,246700,Eastern Bays,Res,3 or less,6.3,
MAHINA ROAD,246700,Eastern Bays,Res,3 or less,5.0,
MARINE DRIVE,246700,Eastern Bays,Res,3 or less,5.7,
MOANA ROAD,246700,Eastern Bays,Res,3 or less,5.2,
NGAUMATAU ROAD,246700,Eastern Bays,Res,3 or less,6.9,
NIKAU ROAD,246700,Eastern Bays,Res,3 or less,5.5,
PITOITOI ROAD,246700,Eastern Bays,Res,3 or less,8.0,
TAUNGATA ROAD,246700,Eastern Bays,Res,3 or less,2.5,
TUI ROAD,246700,Eastern Bays,Res,3 or less,7.7,
WAITOHU ROAD,246700,Eastern Bays,Res,3 or less,5.9,
WALTER ROAD,246700,Eastern Bays,Res,4,7.2,28.7
BROOKFIELD LANE,246800,Pencarrow,Res,3 or less,4.3,
COAST ROAD,246800,Pencarrow,Res,3 or less,5.9,
MOORES VALLEY ROAD,246800,Pencarrow,Res,3 or less,3.4,
BRIAN MORGAN TERRACE,246900,Wainuiomata West,Res,3 or less,4.6,
GROVEDALE SQUARE,246900,Wainuiomata West,Res,3 or less,4.6,
HARRY MARTIN LANE,246900,Wainuiomata West,Res,3 or less,4.6,
HILLVIEW RISE,246900,Wainuiomata West,Res,3 or less,6.0,
KAIRANGA CRESCENT,246900,Wainuiomata West,Res,3 or less,4.4,
KARAKA STREET,246900,Wainuiomata West,Res,3 or less,2.5,
KARAMEA GROVE,246900,Wainuiomata West,Res,3 or less,4.8,
KARAMU CRESCENT,246900,Wainuiomata West,Res,3 or less,5.6,
KAWATIRI GROVE,246900,Wainuiomata West,Res,3 or less,7.4,
KONINI STREET,246900,Wainuiomata West,Res,3 or less,4.6,
KOWHAI STREET,246900,Wainuiomata West,Res,3 or less,1.0,
KUMEROA GROVE,246900,Wainuiomata West,Res,3 or less,4.6,
MAIRE STREET,246900,Wainuiomata West,Res,3 or less,1.4,
MANUTUKE STREET,246900,Wainuiomata West,Res,3 or less,2.6,
MEREMERE STREET,246900,Wainuiomata West,Res,4,4.4,17.5
MITIMITI GROVE,246900,Wainuiomata West,Res,3 or less,4.6,
MOHAKA STREET,246900,Wainuiomata West,Res,5,3.2,15.9
MOMONA STREET,246900,Wainuiomata West,Res,3 or less,5.0,
PURIRI STREET,246900,Wainuiomata West,Res,3 or less,3.6,
RON FAWCETT WAY,246900,Wainuiomata West,Res,3 or less,4.6,
SUN VALLEY GROVE,246900,Wainuiomata West,Res,3 or less,5.0,
SUN VALLEY WAY,246900,Wainuiomata West,Res,3 or less,3.3,
TOTARA STREET,246900,Wainuiomata West,Res,3 or less,4.6,
WAINUIOMATA ROAD,246900,Wainuiomata West,Res,4,5.9,23.6
ANTRIM CRESCENT,247000,Glendale,Res,3 or less,4.4,
BERKELEY ROAD,247000,Glendale,Res,3 or less,1.5,
BRIAN HUGHES ROAD,247000,Glendale,Res,3 or less,4.7,
CASTLEREA STREET,247000,Glendale,Res,3 or less,4.8,
CONCORD STREET,247000,Glendale,Res,3 or less,6.2,
CONISTON STREET,247000,Glendale,Res,3 or less,5.0,
CRAIGIE WAY,247000,Glendale,Res,3 or less,7.3,
DONNELLEY DRIVE,247000,Glendale,Res,3 or less,8.6,
DUNN STREET,247000,Glendale,Res,3 or less,5.0,
FRASER COLMAN GROVE,247000,Glendale,Res,5,4.4,22.1
FREDERICK STREET,247000,Glendale,Res,3 or less,3.8,
GRANDE PLACE,247000,Glendale,Res,3 or less,4.6,
GRIMSBY GROVE,247000,Glendale,Res,3 or less,4.6,
HENRIETTA MAXWELL GROVE,247000,Glendale,Res,23,2.2,50.3
JACK VAUGHAN GROVE,247000,Glendale,Res,3 or less,4.6,
KILKENNY GROVE,247000,Glendale,Res,3 or less,2.0,
MILES CRESCENT,247000,Glendale,Res,3 or less,4.6,
NELSON CRESCENT,247000,Glendale,Res,4,4.5,17.8
PENCARROW CRESCENT,247000,Glendale,Res,4,4.5,17.9
PETER TAPP WAY,247000,Glendale,Res,3 or less,4.6,
POLLARD STREET,247000,Glendale,Res,3 or less,3.0,
RUTHVEN ROAD,247000,Glendale,Res,3 or less,4.7,
TE ARA O PUKEKO,247000,Glendale,Res,3 or less,4.6,
TE ARA O TOROA,247000,Glendale,Res,5,4.7,23.4
THIRLMERE STREET,247000,Glendale,Res,3 or less,4.2,
TRELAWNEY ROAD,247000,Glendale,Res,3 or less,4.0,
WICKLOW GROVE,247000,Glendale,Res,3 or less,4.6,
WISE STREET,247000,Glendale,Res,4,4.5,18.1
DAVIS GROVE,247100,Wainuiomata Central,Res,3 or less,3.7,
FRASER STREET,247100,Wainuiomata Central,Res,3 or less,5.1,
GARDINER GROVE,247100,Wainuiomata Central,Res,3 or less,3.5,
HINAU GROVE,247100,Wainuiomata Central,Res,3 or less,4.8,
HOLLAND STREET,247100,Wainuiomata Central,Res,3 or less,8.0,
LEES GROVE,247100,Wainuiomata Central,Res,4,4.1,16.6
QUEEN STREET,247100,Wainuiomata Central,Res,3 or less,1.4,
READING STREET,247100,Wainuiomata Central,Res,3 or less,10.0,
SHEEHY GROVE,247100,Wainuiomata Central,Res,3 or less,2.0,
WAINUIOMATA ROAD,247100,Wainuiomata Central,Res,3 or less,4.6,
HINAU STREET,247200,Eastbourne,Res,3 or less,10.0,
KARAKA STREET,247200,Eastbourne,Res,3 or less,2.9,
KONINI STREET,247200,Eastbourne,Res,3 or less,4.0,
MAHOE STREET,247200,Eastbourne,Res,3 or less,3.3,
MAIRE STREET,247200,Eastbourne,Res,3 or less,7.5,
MAKARO STREET,247200,Eastbourne,Res,3 or less,6.0,
MARINE PARADE,247200,Eastbourne,Res,3 or less,5.5,
MURITAI ROAD,247200,Eastbourne,Res,6,13.2,78.9
NIKAU STREET,247200,Eastbourne,Res,3 or less,6.6,
ORIHAU TERRACE,247200,Eastbourne,Res,3 or less,7.3,
OROUA STREET,247200,Eastbourne,Res,3 or less,7.0,
PUKATEA STREET,247200,Eastbourne,Res,3 or less,4.6,
RATA STREET,247200,Eastbourne,Res,3 or less,8.5,
RONA STREET,247200,Eastbourne,Res,3 or less,7.2,
TAWA STREET,247200,Eastbourne,Res,3 or less,5.0,
TOTARA STREET,247200,Eastbourne,Res,3 or less,2.8,
TUATORU STREET,247200,Eastbourne,Res,3 or less,5.0,
BULL AVENUE,247300,Homedale East,Res,3 or less,8.0,
FARIS CRESCENT,247300,Homedale East,Res,3 or less,5.0,
GAWLER GROVE,247300,Homedale East,Res,3 or less,4.6,
HAIR STREET,247300,Homedale East,Res,4,4.8,19.2
HEATH STREET,247300,Homedale East,Res,3 or less,5.0,
HINE ROAD,247300,Homedale East,Res,5,6.8,34.1
MCKILLOP STREET,247300,Homedale East,Res,3 or less,4.6,
MOOHAN STREET,247300,Homedale East,Res,3 or less,2.0,
MOORES VALLEY ROAD,247300,Homedale East,Res,3 or less,4.6,
NELSON CRESCENT,247300,Homedale East,Res,3 or less,5.5,
PETRIE STREET,247300,Homedale East,Res,3 or less,4.3,
POOLE CRESCENT,247300,Homedale East,Res,3 or less,5.0,
SUNNY GROVE,247300,Homedale East,Res,3 or less,4.6,
WILLIS GROVE,247300,Homedale East,Res,3 or less,3.8,
WRIGHT STREET,247300,Homedale East,Res,3 or less,5.0,
ARTHUR STREET,247400,Homedale West,Res,3 or less,10.0,
BLEDISLOE CRESCENT,247400,Homedale West,Res,3 or less,4.7,
COAST ROAD,247400,Homedale West,Res,3 or less,4.8,
FAULKE AVENUE,247400,Homedale West,Res,3 or less,5.7,
GIBBS CRESCENT,247400,Homedale West,Res,3 or less,5.0,
HYDE STREET,247400,Homedale West,Res,3 or less,4.6,
LINCOLN GROVE,247400,Homedale West,Res,3 or less,4.6,
MAIN ROAD,247400,Homedale West,Res,6,5.7,34.1
MCGOWAN ROAD,247400,Homedale West,Res,3 or less,5.5,
PEEL PLACE,247400,Homedale West,Res,3 or less,5.0,
ROWE PARADE,247400,Homedale West,Res,3 or less,4.6,
WOOD STREET,247400,Homedale West,Res,3 or less,3.7,
MAKARA ROAD,247500,Makara-Ohariu,Res,9,5.5,49.2
OHARIU VALLEY ROAD,247500,Makara-Ohariu,Res,13,9.5,123.2
PIHIPIHI WAY,247500,Makara-Ohariu,Res,3 or less,2.8,
POROKAIWHIRI STREET,247500,Makara-Ohariu,Res,3 or less,4.6,
PRESTBURY GROVE,247500,Makara-Ohariu,Res,3 or less,5.0,
RAMARAMA LANE,247500,Makara-Ohariu,Res,3 or less,4.5,
RIFLE RANGE ROAD,247500,Makara-Ohariu,Res,3 or less,6.0,
SILVERSTREAM ROAD,247500,Makara-Ohariu,Res,4,7.6,30.5
SOUTH KARORI ROAD,247500,Makara-Ohariu,Res,3 or less,1.6,
SOUTH MAKARA ROAD,247500,Makara-Ohariu,Res,4,5.4,21.6
TAKARAU GORGE ROAD,247500,Makara-Ohariu,Res,7,5.2,36.5
FRANKLYN ROAD,247600,Tawa North,Res,3 or less,3.7,
FYVIE AVENUE,247600,Tawa North,Res,4,5.8,23.2
GREER CRESCENT,247600,Tawa North,Res,3 or less,3.0,
HAMPTON HILL ROAD,247600,Tawa North,Res,3 or less,15.0,
OLIVIA CRESCENT,247600,Tawa North,Res,3 or less,5.0,
ORDLEY GROVE,247600,Tawa North,Res,3 or less,3.8,
ROY STREET,247600,Tawa North,Res,3 or less,5.0,
ST AIDANS WAY,247600,Tawa North,Res,3 or less,6.0,
WAKEFIELD TERRACE,247600,Tawa North,Res,3 or less,2.0,
WESTHAVEN DRIVE,247600,Tawa North,Res,3 or less,2.0,
WESTRA VIEW,247600,Tawa North,Res,3 or less,4.0,
WESTWOOD ROAD,247600,Tawa North,Res,3 or less,6.0,
BEAUCHAMP STREET,247700,Linden,Res,4,4.9,19.5
BELL STREET,247700,Linden,Res,3 or less,2.5,
COATES STREET,247700,Linden,Res,3 or less,4.4,
COLLINS AVENUE,247700,Linden,Res,3 or less,3.7,
FINDLAY STREET,247700,Linden,Res,3 or less,4.2,
HANDYSIDE STREET,247700,Linden,Res,3 or less,10.0,
HINAU STREET,247700,Linden,Res,3 or less,4.6,
KENEPURU DRIVE,247700,Linden,Res,3 or less,4.8,
KOWHAI STREET,247700,Linden,Res,3 or less,6.6,
MAIN ROAD,247700,Linden,Res,3 or less,4.7,
MCLELLAN STREET,247700,Linden,Res,3 or less,5.1,
RANUI TERRACE,247700,Linden,Res,3 or less,5.0,
SOUTH STREET,247700,Linden,Res,3 or less,5.0,
TREMEWAN STREET,247700,Linden,Res,3 or less,3.9,
ACHILLES CLOSE,247800,Tawa South,Res,3 or less,5.0,
ARA PATUKAWENGA,247800,Tawa South,Res,3 or less,5.0,
BRASENOSE PLACE,247800,Tawa South,Res,3 or less,1.4,
DUVAL GROVE,247800,Tawa South,Res,3 or less,2.5,
KIWI CRESCENT,247800,Tawa South,Res,3 or less,4.6,
KIWI PLACE,247800,Tawa South,Res,3 or less,6.0,
LANE CRESCENT,247800,Tawa South,Res,3 or less,5.0,
LARSEN CRESCENT,247800,Tawa South,Res,4,6.0,24.0
LYNDHURST ROAD,247800,Tawa South,Res,3 or less,3.0,
ORIEL AVENUE,247800,Tawa South,Res,3 or less,3.7,
PARK AVENUE,247800,Tawa South,Res,3 or less,5.0,
PEMBROKE STREET,247800,Tawa South,Res,3 or less,10.0,
PETERHOUSE STREET,247800,Tawa South,Res,5,4.0,20.1
REDWOOD AVENUE,247800,Tawa South,Res,3 or less,4.5,
ST JOHNS TERRACE,247800,Tawa South,Res,3 or less,6.4,
SUNRISE BOULEVARD,247800,Tawa South,Res,3 or less,4.6,
TAINUI TERRACE,247800,Tawa South,Res,3 or less,5.6,
THE DRIVE,247800,Tawa South,Res,3 or less,5.0,
WADHAM GROVE,247800,Tawa South,Res,3 or less,1.4,
CECIL ROAD,247900,Tawa Central,Res,3 or less,4.8,
DUNCAN STREET,247900,Tawa Central,Res,3 or less,3.8,
ELENA PLACE,247900,Tawa Central,Res,3 or less,15.0,
LINCOLN AVENUE,247900,Tawa Central,Res,3 or less,5.0,
MAIN STREET,247900,Tawa Central,Res,3 or less,5.0,
MCKEEFRY GROVE,247900,Tawa Central,Res,3 or less,3.0,
MORGAN PLACE,247900,Tawa Central,Res,3 or less,3.5,
NGATITOA STREET,247900,Tawa Central,Res,3 or less,5.0,
OXFORD STREET,247900,Tawa Central,Res,5,5.1,25.6
REDWOOD AVENUE,247900,Tawa Central,Res,3 or less,8.5,
ROY STREET,247900,Tawa Central,Res,3 or less,5.0,
RYAN GROVE,247900,Tawa Central,Res,3 or less,5.0,
SURREY STREET,247900,Tawa Central,Res,3 or less,12.0,
TAWA TERRACE,247900,Tawa Central,Res,3 or less,2.6,
TAYLOR TERRACE,247900,Tawa Central,Res,3 or less,5.0,
THE DRIVE,247900,Tawa Central,Res,3 or less,4.8,
ALLEN TERRACE,248000,Grenada North,Res,3 or less,5.3,
BING LUCAS DRIVE,248000,Grenada North,Res,6,4.9,29.3
COLLINS AVENUE,248000,Grenada North,Res,3 or less,4.6,
GAYLE WAY,248000,Grenada North,Res,3 or less,5.0,
GLADYS SCOTT PLACE,248000,Grenada North,Res,3 or less,10.0,
JAMAICA DRIVE,248000,Grenada North,Res,3 or less,4.2,
KILKELLY CLOSE,248000,Grenada North,Res,3 or less,6.7,
MERVYN KEMP DRIVE,248000,Grenada North,Res,3 or less,4.3,
PECKHAM GROVE,248000,Grenada North,Res,3 or less,6.0,
PIKITANGA CLOSE,248000,Grenada North,Res,3 or less,5.0,
RAROA TERRACE,248000,Grenada North,Res,3 or less,6.0,
SPICER PLACE,248000,Grenada North,Res,3 or less,6.0,
TOBAGO CRESCENT,248000,Grenada North,Res,3 or less,5.0,
WILMSHURST PLACE,248000,Grenada North,Res,3 or less,5.0,
WOODBURN DRIVE,248000,Grenada North,Res,3 or less,8.7,
WOODMAN DRIVE,248000,Grenada North,Res,15,6.0,89.6
AMESBURY DRIVE,248100,Churton Park North,Res,7,6.5,45.6
ATHERTON TERRACE,248100,Churton Park North,Res,3 or less,5.0,
BURBANK CRESCENT,248100,Churton Park North,Res,3 or less,7.3,
